,Rank Name,Code,Entry,J1,J2,J3,J4,J5,J6,J7,J8,J9
84,15 KAWABE Mana,JPN,Execution Score,39.43000000000001,40.43000000000001,38.43000000000001,37.43000000000001,35.43000000000001,40.43000000000001,42.43000000000001,37.43000000000001,38.43000000000001
85,15 KAWABE Mana,JPN,Skating Skills,8.25,8.0,7.5,8.0,7.5,7.75,7.5,7.75,7.75
86,15 KAWABE Mana,JPN,Transitions,7.75,7.5,7.25,7.75,6.5,7.0,7.25,7.25,7.25
87,15 KAWABE Mana,JPN,Performance,7.75,7.5,7.25,8.0,7.0,7.5,7.5,7.25,7.5
88,15 KAWABE Mana,JPN,Composition,8.0,7.75,7.5,7.75,7.0,7.25,7.5,7.5,7.5
89,15 KAWABE Mana,JPN,Interpretation of the Music,7.75,7.75,7.25,8.0,6.75,7.5,7.25,7.25,7.5
90,16 RYABOVA Ekaterina,AZE,Execution Score,38.629999999999995,36.629999999999995,34.629999999999995,36.629999999999995,34.629999999999995,34.629999999999995,37.629999999999995,34.629999999999995,38.629999999999995
91,16 RYABOVA Ekaterina,AZE,Skating Skills,7.25,7.0,7.25,7.75,7.5,7.25,7.0,7.75,7.5
92,16 RYABOVA Ekaterina,AZE,Transitions,6.75,7.0,7.0,7.25,7.25,7.25,6.75,7.25,7.5
93,16 RYABOVA Ekaterina,AZE,Performance,7.5,7.5,7.25,7.75,7.5,7.5,7.25,7.75,7.75
94,16 RYABOVA Ekaterina,AZE,Composition,7.0,7.5,7.0,7.75,7.25,7.5,7.25,7.5,7.5
95,16 RYABOVA Ekaterina,AZE,Interpretation of the Music,7.25,7.25,7.0,8.0,6.75,7.5,7.25,7.5,7.75
96,17 SAFONOVA Viktoriia,BLR,Execution Score,38.73,38.73,39.73,33.73,35.73,34.73,36.73,40.73,38.73
97,17 SAFONOVA Viktoriia,BLR,Skating Skills,7.25,7.0,7.25,7.25,7.25,7.0,7.0,7.25,7.25
98,17 SAFONOVA Viktoriia,BLR,Transitions,7.0,7.25,7.0,6.75,7.25,7.0,6.5,7.25,7.0
99,17 SAFONOVA Viktoriia,BLR,Performance,7.5,7.25,6.75,7.0,7.5,7.25,6.75,7.5,7.5
100,17 SAFONOVA Viktoriia,BLR,Composition,7.25,7.5,7.0,7.0,7.5,7.25,6.75,7.5,7.25
101,17 SAFONOVA Viktoriia,BLR,Interpretation of the Music,7.25,7.0,7.0,7.25,7.5,7.0,6.75,7.75,7.5
102,18 MIKUTINA Olga,AUT,Execution Score,35.69,38.69,37.69,39.69,35.69,38.69,34.69,39.69,37.69
103,18 MIKUTINA Olga,AUT,Skating Skills,7.5,7.25,6.75,7.5,7.0,7.0,6.5,7.25,7.25
104,18 MIKUTINA Olga,AUT,Transitions,7.5,7.25,6.5,7.5,6.5,7.0,6.25,7.0,7.0
105,18 MIKUTINA Olga,AUT,Performance,7.25,7.5,7.0,7.75,7.25,7.25,6.5,7.5,7.5
106,18 MIKUTINA Olga,AUT,Composition,7.5,7.5,6.75,7.75,6.75,7.25,6.5,7.5,7.25
107,18 MIKUTINA Olga,AUT,Interpretation of the Music,7.25,7.25,6.75,7.75,6.75,7.0,6.75,7.25,7.5
108,19 PAGANINI Alexia,SUI,Execution Score,40.03,38.03,39.03,34.03,31.029999999999998,31.029999999999998,33.03,38.03,40.03
109,19 PAGANINI Alexia,SUI,Skating Skills,7.5,7.5,7.0,7.5,7.5,7.25,7.0,7.5,7.5
110,19 PAGANINI Alexia,SUI,Transitions,7.25,7.0,6.75,7.0,6.75,6.75,6.75,7.25,7.25
111,19 PAGANINI Alexia,SUI,Performance,7.5,7.5,7.25,7.25,7.25,7.0,7.0,7.75,7.5
112,19 PAGANINI Alexia,SUI,Composition,7.5,7.25,7.0,7.25,7.25,7.0,7.25,7.5,7.75
113,19 PAGANINI Alexia,SUI,Interpretation of the Music,7.5,7.5,7.25,7.25,7.25,7.25,7.25,7.25,7.5
114,20 SCHIZAS Madeline,CAN,Execution Score,37.730000000000004,34.730000000000004,36.730000000000004,38.730000000000004,35.730000000000004,35.730000000000004,36.730000000000004,36.730000000000004,35.730000000000004
115,20 SCHIZAS Madeline,CAN,Skating Skills,8.0,7.75,7.75,7.75,8.0,7.5,7.25,7.5,7.75
116,20 SCHIZAS Madeline,CAN,Transitions,7.75,7.75,7.5,7.5,8.25,7.5,7.25,7.25,7.5
117,20 SCHIZAS Madeline,CAN,Performance,8.0,7.75,7.5,7.75,8.0,7.75,7.5,7.75,7.75
118,20 SCHIZAS Madeline,CAN,Composition,7.75,8.25,7.75,7.75,8.5,8.0,7.5,7.5,7.75
119,20 SCHIZAS Madeline,CAN,Interpretation of the Music,8.0,8.25,7.5,7.75,8.5,8.0,7.25,7.5,7.75
120,21 KIIBUS Eva-Lotta,EST,Execution Score,38.99,36.99,35.99,32.99,33.99,36.99,35.99,37.99,35.99
121,21 KIIBUS Eva-Lotta,EST,Skating Skills,7.25,7.5,6.75,7.75,7.25,7.25,7.0,7.5,7.5
122,21 KIIBUS Eva-Lotta,EST,Transitions,7.25,7.75,6.5,7.5,7.25,7.5,6.75,7.25,7.25
123,21 KIIBUS Eva-Lotta,EST,Performance,7.75,7.5,6.75,7.5,7.5,7.75,7.0,7.5,7.5
124,21 KIIBUS Eva-Lotta,EST,Composition,7.5,7.75,6.75,7.5,7.5,7.5,7.25,7.75,7.25
125,21 KIIBUS Eva-Lotta,EST,Interpretation of the Music,8.0,7.75,6.75,7.5,7.5,7.75,7.25,7.75,7.5
126,22 van ZUNDERT Lindsay,NED,Execution Score,37.39,41.39,36.39,40.39,34.39,40.39,42.39,36.39,40.39
127,22 van ZUNDERT Lindsay,NED,Skating Skills,6.75,6.5,6.75,7.25,6.0,6.75,6.5,6.5,7.25
128,22 van ZUNDERT Lindsay,NED,Transitions,6.5,6.5,6.25,7.0,6.5,6.5,6.0,6.25,6.75
129,22 van ZUNDERT Lindsay,NED,Performance,7.0,7.0,6.75,7.5,7.25,7.0,6.25,6.75,7.25
130,22 van ZUNDERT Lindsay,NED,Composition,6.75,7.0,6.5,7.25,7.0,7.0,6.5,6.5,7.25
131,22 van ZUNDERT Lindsay,NED,Interpretation of the Music,7.0,6.75,6.5,7.25,7.0,7.0,6.5,6.25,7.25
132,23 FEIGIN Alexandra,BUL,Execution Score,37.79,35.79,39.79,31.79,36.79,35.79,38.79,35.79,37.79
133,23 FEIGIN Alexandra,BUL,Skating Skills,6.75,6.5,7.0,6.75,6.25,6.25,6.75,6.5,7.0
134,23 FEIGIN Alexandra,BUL,Transitions,6.25,6.5,7.0,6.5,6.5,6.5,6.75,6.25,7.0
135,23 FEIGIN Alexandra,BUL,Performance,6.5,6.75,7.25,6.5,6.75,6.75,6.75,6.75,7.25
136,23 FEIGIN Alexandra,BUL,Composition,6.25,6.5,7.0,7.0,6.5,6.75,7.0,6.75,7.25
137,23 FEIGIN Alexandra,BUL,Interpretation of the Music,6.5,6.5,7.25,6.75,6.5,6.5,7.0,6.5,7.25
138,24 KURAKOVA Ekaterina,POL,Execution Score,35.2,35.2,33.2,31.2,28.2,30.2,34.2,31.2,35.2
139,24 KURAKOVA Ekaterina,POL,Skating Skills,7.75,7.75,7.25,7.75,7.75,7.5,7.5,7.75,8.0
140,24 KURAKOVA Ekaterina,POL,Transitions,7.25,7.5,6.75,7.25,7.5,7.25,7.5,7.25,8.25
141,24 KURAKOVA Ekaterina,POL,Performance,7.5,7.75,7.0,7.5,8.25,7.5,7.75,7.5,8.5
142,24 KURAKOVA Ekaterina,POL,Composition,7.5,8.0,7.25,7.75,8.0,7.5,7.75,7.75,8.25
143,24 KURAKOVA Ekaterina,POL,Interpretation of the Music,7.75,8.25,7.25,7.75,8.0,7.75,7.75,7.75,8.25
144,25 SAARINEN Jenni,FIN,Execution Score,35.83,32.83,35.83,31.83,35.83,32.83,35.83,34.83,33.83
145,25 SAARINEN Jenni,FIN,Skating Skills,7.75,7.75,7.25,7.25,7.5,7.0,7.0,7.25,7.25
146,25 SAARINEN Jenni,FIN,Transitions,7.25,7.5,6.75,6.75,7.5,6.75,6.75,7.25,7.0
147,25 SAARINEN Jenni,FIN,Performance,7.5,7.75,6.75,7.0,7.75,6.75,7.0,7.5,7.5
148,25 SAARINEN Jenni,FIN,Composition,7.5,8.0,7.0,7.25,7.5,7.0,7.25,7.5,7.5
149,25 SAARINEN Jenni,FIN,Interpretation of the Music,7.75,7.5,7.25,7.25,8.0,7.25,7.0,7.75,7.5
150,26 TALJEGARD Josefin,SWE,Execution Score,28.770000000000003,27.770000000000003,31.770000000000003,31.770000000000003,27.770000000000003,28.770000000000003,29.770000000000003,28.770000000000003,29.770000000000003
151,26 TALJEGARD Josefin,SWE,Skating Skills,6.75,6.25,6.5,6.75,6.75,6.75,6.75,6.5,7.25
152,26 TALJEGARD Josefin,SWE,Transitions,6.75,6.5,6.5,7.0,6.75,6.75,6.75,6.75,7.25
153,26 TALJEGARD Josefin,SWE,Performance,7.75,7.0,6.75,7.5,7.5,7.0,7.25,7.0,7.75
154,26 TALJEGARD Josefin,SWE,Composition,7.5,7.0,7.0,7.75,7.25,7.5,7.25,7.25,7.5
155,26 TALJEGARD Josefin,SWE,Interpretation of the Music,7.75,7.0,7.0,8.0,7.5,7.5,7.25,7.5,7.75
156,27 ZHU Yi,CHN,Execution Score,27.42,29.42,31.42,26.42,21.42,28.42,29.42,30.42,28.42
157,27 ZHU Yi,CHN,Skating Skills,7.0,6.5,7.25,6.75,7.0,6.5,7.0,6.5,7.0
158,27 ZHU Yi,CHN,Transitions,6.5,6.75,7.0,6.5,6.5,6.25,6.75,6.0,7.0
159,27 ZHU Yi,CHN,Performance,6.75,6.75,6.75,6.75,7.0,6.5,6.75,6.5,7.25
160,27 ZHU Yi,CHN,Composition,6.5,7.25,7.0,6.75,7.0,6.25,7.0,6.75,7.0
161,27 ZHU Yi,CHN,Interpretation of the Music,6.75,7.0,6.75,7.0,6.5,6.5,7.0,6.25,7.25
162,28 McKAY Natasha,GBR,Execution Score,32.2,28.200000000000003,30.200000000000003,26.200000000000003,25.200000000000003,25.200000000000003,27.200000000000003,29.200000000000003,31.200000000000003
163,28 McKAY Natasha,GBR,Skating Skills,6.5,7.0,7.25,6.75,6.75,6.5,6.5,6.75,6.75
164,28 McKAY Natasha,GBR,Transitions,6.5,7.5,6.75,6.5,7.5,6.5,6.75,6.5,6.5
165,28 McKAY Natasha,GBR,Performance,6.75,7.25,6.75,7.0,7.0,6.75,7.0,6.5,6.75
166,28 McKAY Natasha,GBR,Composition,7.0,7.5,7.0,6.75,7.25,6.75,7.0,7.0,7.0
167,28 McKAY Natasha,GBR,Interpretation of the Music,7.0,7.25,6.75,6.75,7.25,6.75,7.0,6.75,6.75
168,29 CRAINE Kailani,AUS,Execution Score,25.92,25.92,24.92,24.92,22.92,24.92,24.92,25.92,24.92
169,29 CRAINE Kailani,AUS,Skating Skills,6.75,7.0,7.0,7.0,7.25,6.25,6.75,6.75,6.75
170,29 CRAINE Kailani,AUS,Transitions,6.5,6.75,6.5,6.75,6.75,6.25,6.5,6.5,6.5
171,29 CRAINE Kailani,AUS,Performance,7.0,6.75,6.5,7.0,7.0,6.5,6.75,7.25,6.5
172,29 CRAINE Kailani,AUS,Composition,6.75,7.0,6.75,7.25,6.75,6.25,6.75,7.0,6.75
173,29 CRAINE Kailani,AUS,Interpretation of the Music,7.0,6.75,7.0,7.0,7.0,6.5,6.75,7.5,6.75
174,30 SHABOTOVA Anastasiia,UKR,Execution Score,21.620000000000005,22.620000000000005,21.620000000000005,20.620000000000005,18.620000000000005,22.620000000000005,26.620000000000005,18.620000000000005,21.620000000000005
175,30 SHABOTOVA Anastasiia,UKR,Skating Skills,6.75,6.5,6.5,7.0,6.5,6.5,6.75,6.5,6.75
176,30 SHABOTOVA Anastasiia,UKR,Transitions,6.25,6.25,6.25,6.5,5.75,6.0,6.5,6.25,6.5
177,30 SHABOTOVA Anastasiia,UKR,Performance,6.0,6.25,6.25,6.75,5.5,5.75,6.5,6.25,7.0
178,30 SHABOTOVA Anastasiia,UKR,Composition,6.5,6.5,6.5,7.0,6.25,6.25,6.75,6.5,7.0
179,30 SHABOTOVA Anastasiia,UKR,Interpretation of the Music,6.25,6.25,6.25,7.0,5.75,6.0,6.5,6.25,6.75
