,Judger A,Judger B,Judger C,NOC Code,Result
62,J2,J1,J9,,6.434733267230311e-07
63,J2,J3,J1,,3.725303895229213e-06
64,J2,J3,J4,,4.23596047021877e-06
65,J2,J3,J5,,5.388145980858806e-06
66,J2,J3,J6,,6.697203235296137e-06
67,J2,J3,J7,,9.287974949455858e-06
68,J2,J3,J8,,5.95430433329263e-06
69,J2,J3,J9,,2.9683322588414607e-06
70,J2,J4,J1,,6.024589182481508e-07
71,J2,J4,J3,,1.5816876316465326e-07
72,J2,J4,J5,,1.881218305302626e-06
73,J2,J4,J6,,-2.8927411465886383e-07
74,J2,J4,J7,,7.162300144132669e-07
75,J2,J4,J8,,1.8546480524635126e-06
76,J2,J4,J9,,-4.3592969209835197e-07
77,J2,J5,J1,,1.8166399518056785e-06
78,J2,J5,J3,,1.0907006602292296e-06
79,J2,J5,J4,,1.1678490367076294e-05
80,J2,J5,J6,,3.565304643310148e-06
81,J2,J5,J7,,1.0447904549163415e-05
82,J2,J5,J8,,5.47617520535877e-06
83,J2,J5,J9,,6.144746725807971e-07
84,J2,J6,J1,,1.2158640992519643e-05
85,J2,J6,J3,,1.407415682749602e-05
86,J2,J6,J4,,1.0505329816186979e-05
87,J2,J6,J5,,5.855757314709384e-06
88,J2,J6,J7,,1.5377427562102292e-05
89,J2,J6,J8,,1.5912565994211168e-05
90,J2,J6,J9,,7.993621705241865e-06
91,J2,J7,J1,,9.999189381550786e-07
92,J2,J7,J3,,1.6013343487925735e-06
93,J2,J7,J4,,1.2647710421694368e-06
94,J2,J7,J5,,-7.027304033022547e-07
95,J2,J7,J6,,-1.5096791890588138e-07
96,J2,J7,J8,,5.427076582838578e-06
97,J2,J7,J9,,4.121547770593472e-07
98,J2,J8,J1,,1.634582020562642e-06
99,J2,J8,J3,,2.088306651527356e-06
100,J2,J8,J4,,7.196500882207323e-06
101,J2,J8,J5,,2.1423827322212696e-06
102,J2,J8,J6,,6.276608769562986e-06
103,J2,J8,J7,,1.3028668768638842e-05
104,J2,J8,J9,,1.0435927090604932e-06
105,J2,J9,J1,,4.8426558025167085e-06
106,J2,J9,J3,,9.116066950492026e-06
107,J2,J9,J4,,1.5525336967961978e-05
108,J2,J9,J5,,6.992846014803445e-06
109,J2,J9,J6,,1.320161552928341e-05
110,J2,J9,J7,,1.81751646909623e-05
111,J2,J9,J8,,1.6591407057805497e-05
112,J3,J1,J2,,1.2307145363377222e-05
113,J3,J1,J4,,1.769256975490357e-05
114,J3,J1,J5,,1.210994569195918e-05
115,J3,J1,J6,,1.4158847103741578e-05
116,J3,J1,J7,,1.5372458118281924e-05
117,J3,J1,J8,,7.589634643730711e-06
118,J3,J1,J9,,4.3718174900319915e-06
119,J3,J2,J1,,3.689126880298108e-06
120,J3,J2,J4,,4.600755470799477e-06
121,J3,J2,J5,,5.588480406150116e-06
122,J3,J2,J6,,6.76788182503905e-06
123,J3,J2,J7,,9.464996747608536e-06
124,J3,J2,J8,,5.514078589609993e-06
125,J3,J2,J9,,2.860527751744771e-06
126,J3,J4,J1,,2.7138863374735103e-06
127,J3,J4,J2,,2.094283314503637e-06
128,J3,J4,J5,,1.8837177090007365e-06
129,J3,J4,J6,,8.115258322106001e-07
130,J3,J4,J7,,5.518523399233597e-06
131,J3,J4,J8,,6.039502894155608e-07
132,J3,J4,J9,,1.6160916313330761e-06
133,J3,J5,J1,,1.015301026847186e-06
134,J3,J5,J2,,7.139017029812974e-07
135,J3,J5,J4,,5.258306927044073e-06
136,J3,J5,J6,,1.9269809644299987e-06
137,J3,J5,J7,,2.5401848321903235e-06
138,J3,J5,J8,,2.9040135584539257e-06
139,J3,J5,J9,,1.1026441361385575e-07
140,J3,J6,J1,,1.2492180029921144e-06
141,J3,J6,J2,,1.6620519778433258e-06
142,J3,J6,J4,,3.460823361709456e-07
143,J3,J6,J5,,8.429319264654637e-08
144,J3,J6,J7,,4.561492676111586e-06
145,J3,J6,J8,,2.1784041090070987e-06
146,J3,J6,J9,,3.060720276716259e-07
147,J3,J7,J1,,7.684555383821077e-06
148,J3,J7,J2,,5.639450798060461e-06
149,J3,J7,J4,,1.5902923585409677e-05
150,J3,J7,J5,,-1.1062753545773627e-06
151,J3,J7,J6,,1.0929308129954946e-05
152,J3,J7,J8,,1.5224977390781145e-05
153,J3,J7,J9,,6.393970184101016e-06
154,J3,J8,J1,,3.4038103413817675e-06
155,J3,J8,J2,,1.29172855393565e-05
156,J3,J8,J4,,8.192939613533412e-06
157,J3,J8,J5,,5.110796433011119e-06
158,J3,J8,J6,,1.7839271224589954e-05
159,J3,J8,J7,,2.0146497885336336e-05
160,J3,J8,J9,,1.2555548910041067e-05
161,J3,J9,J1,,-4.939779818187181e-07
162,J3,J9,J2,,8.793530881500399e-06
163,J3,J9,J4,,1.3640413583820589e-05
164,J3,J9,J5,,1.2155101476490932e-05
165,J3,J9,J6,,1.3527555049388325e-05
166,J3,J9,J7,,1.2394071636748034e-05
167,J3,J9,J8,,1.747226432217915e-05
168,J4,J1,J2,,1.479369561321305e-07
169,J4,J1,J3,,4.795410868587611e-07
170,J4,J1,J5,,2.6523816601196193e-07
171,J4,J1,J6,,-1.7663584062522784e-07
172,J4,J1,J7,,5.2951603936943836e-06
173,J4,J1,J8,,7.615462800282176e-07
174,J4,J1,J9,,-5.593684340696711e-08
175,J4,J2,J1,,-8.360928623552893e-08
176,J4,J2,J3,,-4.4092487288774617e-08
177,J4,J2,J5,,2.050539929163871e-06
178,J4,J2,J6,,-3.3822885938842927e-07
179,J4,J2,J7,,7.030215765500224e-07
180,J4,J2,J8,,1.8436641871677977e-06
181,J4,J2,J9,,-1.6790946345818753e-07
182,J4,J3,J1,,2.3593997877087154e-06
183,J4,J3,J2,,1.6884247149291033e-06
184,J4,J3,J5,,2.3920554793424786e-06
185,J4,J3,J6,,7.170793717020268e-07
186,J4,J3,J7,,5.521997151299406e-06
187,J4,J3,J8,,5.220327928786704e-07
188,J4,J3,J9,,1.5487593176797632e-06
189,J4,J5,J1,,1.444647778345951e-06
190,J4,J5,J2,,2.2935885296712907e-06
191,J4,J5,J3,,3.4124322857040494e-06
192,J4,J5,J6,,6.428327754265587e-08
193,J4,J5,J7,,4.714837843255147e-06
194,J4,J5,J8,,1.7105358979683832e-06
195,J4,J5,J9,,2.4945520817013513e-06
196,J4,J6,J1,,2.3038144483181186e-05
197,J4,J6,J2,,2.2587410586518194e-05
198,J4,J6,J3,,1.6954476360659933e-05
199,J4,J6,J5,,1.7523221946344056e-05
200,J4,J6,J7,,3.1018953282030794e-05
201,J4,J6,J8,,1.8518129801859644e-05
202,J4,J6,J9,,2.6106611923372393e-05
203,J4,J7,J1,,7.837223308257116e-06
204,J4,J7,J2,,1.5726810058251319e-06
205,J4,J7,J3,,4.9367918150338165e-06
206,J4,J7,J5,,1.4521427657897691e-06
207,J4,J7,J6,,3.3747924721930707e-06
208,J4,J7,J8,,6.941132601298361e-06
209,J4,J7,J9,,1.9105366306586256e-06
210,J4,J8,J1,,1.14300716573156e-06
211,J4,J8,J2,,8.741436390716562e-06
212,J4,J8,J3,,2.9174210194256073e-06
213,J4,J8,J5,,6.415976329861064e-06
214,J4,J8,J6,,2.424393604089895e-06
215,J4,J8,J7,,6.190562440850044e-06
216,J4,J8,J9,,3.62289707004471e-06
217,J4,J9,J1,,5.907203456245854e-06
218,J4,J9,J2,,8.188090071602983e-06
219,J4,J9,J3,,8.847457092294055e-06
220,J4,J9,J5,,1.4350789993638631e-05
221,J4,J9,J6,,1.0833281953838159e-05
222,J4,J9,J7,,1.0578866007942692e-05
223,J4,J9,J8,,1.5296029961294392e-05
224,J5,J1,J2,,3.994474302970982e-07
225,J5,J1,J3,,6.182698569287049e-07
226,J5,J1,J4,,2.958062611226175e-06
227,J5,J1,J6,,3.2715255292937853e-07
228,J5,J1,J7,,4.177316305117727e-06
229,J5,J1,J8,,4.53418876668096e-07
230,J5,J1,J9,,-9.694465533774114e-08
231,J5,J2,J1,,1.833902227197613e-06
232,J5,J2,J3,,1.0320841647950943e-06
233,J5,J2,J4,,1.1367204920460378e-05
234,J5,J2,J6,,3.590383084714767e-06
235,J5,J2,J7,,1.0405053398649095e-05
236,J5,J2,J8,,5.535045764748997e-06
237,J5,J2,J9,,7.05375214532554e-07
238,J5,J3,J1,,1.0050832561262737e-06
239,J5,J3,J2,,7.41149004511933e-07
240,J5,J3,J4,,5.330292796616043e-06
241,J5,J3,J6,,1.8634714674807318e-06
242,J5,J3,J7,,2.36287351738806e-06
243,J5,J3,J8,,2.724965964591077e-06
244,J5,J3,J9,,2.3469880840244584e-07
245,J5,J4,J1,,1.276300413306555e-06
246,J5,J4,J2,,2.1704961062655498e-06
247,J5,J4,J3,,3.260187278844056e-06
248,J5,J4,J6,,7.114722047415442e-08
249,J5,J4,J7,,4.495271969686026e-06
250,J5,J4,J8,,1.6376702404437759e-06
251,J5,J4,J9,,2.533661730603393e-06
252,J5,J6,J1,,9.029997108531936e-06
253,J5,J6,J2,,7.69562760848191e-06
254,J5,J6,J3,,1.0459891783143602e-05
255,J5,J6,J4,,1.2714322503171154e-05
256,J5,J6,J7,,1.5096808546115776e-05
257,J5,J6,J8,,1.3411171953083898e-05
258,J5,J6,J9,,9.546375610947823e-06
259,J5,J7,J1,,3.567054122921101e-06
260,J5,J7,J2,,3.015960143049958e-06
261,J5,J7,J3,,1.6329149007450158e-06
262,J5,J7,J4,,4.877995466764785e-06
263,J5,J7,J6,,1.999484647790005e-06
264,J5,J7,J8,,4.458443008749341e-06
265,J5,J7,J9,,3.5680047565634928e-06
266,J5,J8,J1,,2.378705588888648e-06
267,J5,J8,J2,,8.921414985294719e-06
268,J5,J8,J3,,6.579334737547476e-06
269,J5,J8,J4,,1.3865520897698051e-05
270,J5,J8,J6,,8.691655898953389e-06
271,J5,J8,J7,,1.132321074705011e-05
272,J5,J8,J9,,9.986215814983635e-06
273,J5,J9,J1,,4.168810591305627e-07
274,J5,J9,J2,,4.182809144417293e-07
275,J5,J9,J3,,5.260767281290476e-07
276,J5,J9,J4,,8.713392765425406e-06
277,J5,J9,J6,,2.074573280981193e-06
278,J5,J9,J7,,7.64818208439204e-06
279,J5,J9,J8,,6.48226355392708e-06
280,J6,J1,J2,,3.4263973337444055e-06
281,J6,J1,J3,,3.4600276722320217e-06
282,J6,J1,J4,,4.447505349110985e-06
283,J6,J1,J5,,8.878541903509894e-07
284,J6,J1,J7,,9.96420058778221e-06
285,J6,J1,J8,,1.8288712877664127e-06
286,J6,J1,J9,,3.3592525067094964e-06
287,J6,J2,J1,,1.1950578059138296e-05
288,J6,J2,J3,,1.3919268009334362e-05
289,J6,J2,J4,,1.0807761387273188e-05
290,J6,J2,J5,,5.439411903914833e-06
291,J6,J2,J7,,1.5217047516466319e-05
292,J6,J2,J8,,1.585034357704017e-05
293,J6,J2,J9,,7.97403580465065e-06
294,J6,J3,J1,,1.2231901517383537e-06
295,J6,J3,J2,,1.6564870839850622e-06
296,J6,J3,J4,,4.2948830109735293e-07
297,J6,J3,J5,,1.263688014991375e-07
298,J6,J3,J7,,4.8986591635641294e-06
299,J6,J3,J8,,2.098130293662225e-06
300,J6,J3,J9,,4.030582770555754e-07
301,J6,J4,J1,,2.2268095116019062e-05
302,J6,J4,J2,,2.3307062871597054e-05
303,J6,J4,J3,,1.7121686441199785e-05
304,J6,J4,J5,,1.8102635501960033e-05
305,J6,J4,J7,,3.075470659749203e-05
306,J6,J4,J8,,1.8519287084931823e-05
307,J6,J4,J9,,2.6751078261310195e-05
308,J6,J5,J1,,9.102464846696283e-06
309,J6,J5,J2,,7.914873997391115e-06
310,J6,J5,J3,,1.0268104068738282e-05
311,J6,J5,J4,,1.2385786690761028e-05
312,J6,J5,J7,,1.4927851321619172e-05
313,J6,J5,J8,,1.3226781218192204e-05
314,J6,J5,J9,,9.56603573758454e-06
315,J6,J7,J1,,4.394986119985537e-06
316,J6,J7,J2,,1.5013810574457485e-06
317,J6,J7,J3,,5.59991889571408e-06
318,J6,J7,J4,,3.1301962731881045e-06
319,J6,J7,J5,,-1.7884059371182233e-07
320,J6,J7,J8,,8.574585486033582e-06
321,J6,J7,J9,,3.0112199813723646e-06
322,J6,J8,J1,,2.7175653733949326e-06
323,J6,J8,J2,,1.2553181116352459e-05
324,J6,J8,J3,,5.922213877435358e-06
325,J6,J8,J4,,6.322353079253754e-06
326,J6,J8,J5,,7.78663972455977e-06
327,J6,J8,J7,,1.993133223502087e-05
328,J6,J8,J9,,8.09624379864399e-06
329,J6,J9,J1,,4.44883497062902e-06
330,J6,J9,J2,,3.876638989421009e-06
331,J6,J9,J3,,3.491461443615947e-06
332,J6,J9,J4,,7.02446669821992e-06
333,J6,J9,J5,,2.0975776092287065e-06
334,J6,J9,J7,,1.1497771034322515e-05
335,J6,J9,J8,,8.715455759973102e-06
336,J7,J1,J2,,4.552021881927014e-06
337,J7,J1,J3,,7.657217723068063e-06
338,J7,J1,J4,,2.820955726142727e-05
339,J7,J1,J5,,1.747793537263974e-06
340,J7,J1,J6,,5.544115803954805e-06
341,J7,J1,J8,,6.643536655225436e-06
342,J7,J1,J9,,1.0700942063591755e-05
343,J7,J2,J1,,1.2493445238126134e-06
344,J7,J2,J3,,1.7435563322258684e-06
345,J7,J2,J4,,1.1585164468380236e-06
346,J7,J2,J5,,-5.812848250418134e-07
347,J7,J2,J6,,-9.347108982578336e-08
348,J7,J2,J8,,5.4635530316218925e-06
349,J7,J2,J9,,7.216037875841441e-07
350,J7,J3,J1,,7.887934987289446e-06
351,J7,J3,J2,,6.012984630143177e-06
352,J7,J3,J4,,1.587681298633058e-05
353,J7,J3,J5,,-1.2516194435329535e-06
354,J7,J3,J6,,1.105031035926179e-05
355,J7,J3,J8,,1.564193128053442e-05
356,J7,J3,J9,,6.2838372909508185e-06
357,J7,J4,J1,,8.30007045229433e-06
358,J7,J4,J2,,1.499749673883467e-06
359,J7,J4,J3,,4.955928441721177e-06
360,J7,J4,J5,,1.046721403664741e-06
361,J7,J4,J6,,3.2443388353776665e-06
362,J7,J4,J8,,6.639679460378068e-06
363,J7,J4,J9,,1.8784046180659147e-06
364,J7,J5,J1,,3.416077652386774e-06
365,J7,J5,J2,,3.245936437768941e-06
366,J7,J5,J3,,1.6214208405204662e-06
367,J7,J5,J4,,5.028473360944002e-06
368,J7,J5,J6,,2.012118126690141e-06
369,J7,J5,J8,,4.274881677346699e-06
370,J7,J5,J9,,3.5367490694839747e-06
371,J7,J6,J1,,4.497176423310553e-06
372,J7,J6,J2,,1.9129729791557203e-06
373,J7,J6,J3,,5.513427367433349e-06
374,J7,J6,J4,,3.047207077022872e-06
375,J7,J6,J5,,-8.646197815102303e-08
376,J7,J6,J8,,8.445129897386871e-06
377,J7,J6,J9,,3.0437398767282484e-06
378,J7,J8,J1,,3.3904877847979166e-06
379,J7,J8,J2,,1.495554715830042e-05
380,J7,J8,J3,,9.004481519223656e-06
381,J7,J8,J4,,2.0180515554387725e-05
382,J7,J8,J5,,9.572866585863197e-06
383,J7,J8,J6,,1.3089394747839887e-05
384,J7,J8,J9,,1.3788487157067537e-05
385,J7,J9,J1,,2.4500518921684707e-06
386,J7,J9,J2,,1.862414057877236e-06
387,J7,J9,J3,,2.452023169381766e-06
388,J7,J9,J4,,4.406509655718253e-06
389,J7,J9,J5,,-4.5655866003313817e-07
390,J7,J9,J6,,3.8071505311520386e-06
391,J7,J9,J8,,1.045963771918751e-05
392,J8,J1,J2,,2.6303076968118916e-05
393,J8,J1,J3,,8.947889274833825e-06
394,J8,J1,J4,,3.459566761099059e-05
395,J8,J1,J5,,1.7761976845845696e-05
396,J8,J1,J6,,1.9734588344504935e-05
397,J8,J1,J7,,2.9620333942350038e-05
398,J8,J1,J9,,2.0431491283137315e-05
399,J8,J2,J1,,1.4574810937293063e-06
400,J8,J2,J3,,2.2220845958510826e-06
401,J8,J2,J4,,7.365992747649157e-06
402,J8,J2,J5,,2.333338938810115e-06
403,J8,J2,J6,,6.511241814002525e-06
404,J8,J2,J7,,1.2755258872439851e-05
405,J8,J2,J9,,1.0624399608791915e-06
406,J8,J3,J1,,3.5583308798587277e-06
407,J8,J3,J2,,1.3157703902220318e-05
408,J8,J3,J4,,8.602987406647435e-06
409,J8,J3,J5,,4.769427282831178e-06
410,J8,J3,J6,,1.8086439001246192e-05
411,J8,J3,J7,,2.0461799239352332e-05
412,J8,J3,J9,,1.2562670849483797e-05
413,J8,J4,J1,,1.4754596762047803e-06
414,J8,J4,J2,,8.424877633908616e-06
415,J8,J4,J3,,2.8480415011423923e-06
416,J8,J4,J5,,6.64272455647143e-06
417,J8,J4,J6,,2.221386354642295e-06
418,J8,J4,J7,,6.4082413296970745e-06
419,J8,J4,J9,,3.640951848574334e-06
420,J8,J5,J1,,2.4054010492091623e-06
421,J8,J5,J2,,8.810237711461848e-06
422,J8,J5,J3,,6.3496767708545425e-06
423,J8,J5,J4,,1.3970151601469768e-05
424,J8,J5,J6,,8.890216338920119e-06
425,J8,J5,J7,,1.1048649015151333e-05
426,J8,J5,J9,,1.0012062917944021e-05
427,J8,J6,J1,,2.621607498373396e-06
428,J8,J6,J2,,1.2198482492171944e-05
429,J8,J6,J3,,5.9833931824898555e-06
430,J8,J6,J4,,6.675143421724762e-06
431,J8,J6,J5,,7.755140748874491e-06
432,J8,J6,J7,,1.9825199205639716e-05
433,J8,J6,J9,,8.096182407503307e-06
434,J8,J7,J1,,3.4358169450149194e-06
435,J8,J7,J2,,1.4884483499026382e-05
436,J8,J7,J3,,8.596519883183243e-06
437,J8,J7,J4,,2.002165606440334e-05
438,J8,J7,J5,,9.735385329598852e-06
439,J8,J7,J6,,1.3301200623029227e-05
440,J8,J7,J9,,1.4223155700372641e-05
441,J8,J9,J1,,-1.2854870561302393e-07
442,J8,J9,J2,,3.3580648526706714e-06
443,J8,J9,J3,,1.5280844201873138e-06
444,J8,J9,J4,,5.0770273656191115e-06
445,J8,J9,J5,,8.853839815840571e-06
446,J8,J9,J6,,6.55605723476756e-06
447,J8,J9,J7,,8.750145776559023e-06
448,J9,J1,J2,,1.7947624088070864e-05
449,J9,J1,J3,,4.549631545071276e-06
450,J9,J1,J4,,2.044629258492407e-05
451,J9,J1,J5,,1.598829771583117e-05
452,J9,J1,J6,,1.3526647427601394e-05
453,J9,J1,J7,,2.3523867367628765e-05
454,J9,J1,J8,,1.7030287225884916e-05
455,J9,J2,J1,,5.063724650902657e-06
456,J9,J2,J3,,8.772181502297394e-06
457,J9,J2,J4,,1.545084021789909e-05
458,J9,J2,J5,,6.055357844620256e-06
459,J9,J2,J6,,1.3112393404850382e-05
460,J9,J2,J7,,1.8326782541092188e-05
461,J9,J2,J8,,1.637588254504363e-05
462,J9,J3,J1,,-3.973857565506548e-07
463,J9,J3,J2,,8.841297166278512e-06
464,J9,J3,J4,,1.3510395169673117e-05
465,J9,J3,J5,,1.2366323520216101e-05
466,J9,J3,J6,,1.370264076184581e-05
467,J9,J3,J7,,1.1981314320604522e-05
468,J9,J3,J8,,1.7422705075818924e-05
469,J9,J4,J1,,5.5911631251225656e-06
470,J9,J4,J2,,8.5608319527474e-06
471,J9,J4,J3,,9.155301844186239e-06
472,J9,J4,J5,,1.4114241794845777e-05
473,J9,J4,J6,,1.0732253769061098e-05
474,J9,J4,J7,,1.0758538743754077e-05
475,J9,J4,J8,,1.5627891678113787e-05
476,J9,J5,J1,,4.056534425755363e-07
477,J9,J5,J2,,5.330661322551826e-07
478,J9,J5,J3,,5.921830695829185e-07
479,J9,J5,J4,,8.548070035253198e-06
480,J9,J5,J6,,2.01927499647559e-06
481,J9,J5,J7,,7.556852110403829e-06
482,J9,J5,J8,,6.298072677905067e-06
483,J9,J6,J1,,4.5031763756693634e-06
484,J9,J6,J2,,3.897660384570733e-06
485,J9,J6,J3,,3.84482884191533e-06
486,J9,J6,J4,,7.053498491787916e-06
487,J9,J6,J5,,2.0272843800409254e-06
488,J9,J6,J7,,1.1553300220258302e-05
489,J9,J6,J8,,8.505947317822618e-06
490,J9,J7,J1,,2.41015865740273e-06
491,J9,J7,J2,,1.8929710037836502e-06
492,J9,J7,J3,,2.7034799458867914e-06
493,J9,J7,J4,,4.577624942604085e-06
494,J9,J7,J5,,-5.307669605344515e-07
495,J9,J7,J6,,3.54505149183557e-06
496,J9,J7,J8,,1.0380859162792267e-05
497,J9,J8,J1,,3.044769997234693e-08
498,J9,J8,J2,,3.465457896597656e-06
499,J9,J8,J3,,1.4712672366283188e-06
500,J9,J8,J4,,4.940606945719278e-06
501,J9,J8,J5,,9.152112601664705e-06
502,J9,J8,J6,,6.496892211319667e-06
503,J9,J8,J7,,8.512269448678927e-06
504,J1,J2,J3,ROC,-1.5176558978211869e-06
505,J1,J2,J4,ROC,1.8775356874530428e-05
506,J1,J2,J5,ROC,-2.41923365890308e-06
507,J1,J2,J6,ROC,-3.155522163786624e-07
508,J1,J2,J7,ROC,6.936138241923367e-05
509,J1,J2,J8,ROC,6.814425244177312e-06
510,J1,J2,J9,ROC,9.753568745304284e-05
511,J1,J3,J2,ROC,-1.0668670172802404e-06
512,J1,J3,J4,ROC,-1.2291510142749809e-05
513,J1,J3,J5,ROC,0.0
514,J1,J3,J6,ROC,-1.2787377911344857e-05
515,J1,J3,J7,ROC,2.808414725770098e-05
516,J1,J3,J8,ROC,0.0
517,J1,J3,J9,ROC,-2.674680691209617e-06
518,J1,J4,J2,ROC,-4.5078888054094773e-08
519,J1,J4,J3,ROC,2.7047332832456796e-06
520,J1,J4,J5,ROC,0.0
521,J1,J4,J6,ROC,0.0
522,J1,J4,J7,ROC,-2.9000751314800907e-06
523,J1,J4,J8,ROC,0.0
524,J1,J4,J9,ROC,-1.2021036814425246e-07
525,J1,J5,J2,ROC,4.583020285499626e-07
526,J1,J5,J3,ROC,0.0
527,J1,J5,J4,ROC,0.0
528,J1,J5,J6,ROC,0.0
529,J1,J5,J7,ROC,0.0
530,J1,J5,J8,ROC,0.0
531,J1,J5,J9,ROC,0.0
532,J1,J6,J2,ROC,-2.0811419984973705e-06
533,J1,J6,J3,ROC,5.9804658151765606e-06
534,J1,J6,J4,ROC,0.0
535,J1,J6,J5,ROC,0.0
536,J1,J6,J7,ROC,1.3719008264462816e-05
537,J1,J6,J8,ROC,0.0
538,J1,J6,J9,ROC,-9.211119459053342e-06
539,J1,J7,J2,ROC,-2.2013523666416232e-06
540,J1,J7,J3,ROC,-1.968444778362134e-06
541,J1,J7,J4,ROC,1.3260706235912851e-05
542,J1,J7,J5,ROC,0.0
543,J1,J7,J6,ROC,-1.2546957175056364e-06
544,J1,J7,J8,ROC,1.4725770097670925e-06
545,J1,J7,J9,ROC,2.5469571750563477e-06
546,J1,J8,J2,ROC,1.4725770097670925e-06
547,J1,J8,J3,ROC,0.0
548,J1,J8,J4,ROC,0.0
549,J1,J8,J5,ROC,0.0
550,J1,J8,J6,ROC,0.0
551,J1,J8,J7,ROC,-8.151765589782119e-06
552,J1,J8,J9,ROC,3.035311795642375e-06
553,J1,J9,J2,ROC,1.4590533433508642e-05
554,J1,J9,J3,ROC,-2.3290758827948915e-06
555,J1,J9,J4,ROC,5.033809166040567e-07
556,J1,J9,J5,ROC,0.0
557,J1,J9,J6,ROC,-2.471825694966191e-06
558,J1,J9,J7,ROC,1.1269722013523664e-06
559,J1,J9,J8,ROC,-4.357625845229152e-06
560,J2,J1,J3,ROC,-2.524417731029301e-06
561,J2,J1,J4,ROC,1.686701728024042e-05
562,J2,J1,J5,ROC,-3.2456799398948152e-06
563,J2,J1,J6,ROC,1.7280240420736192e-07
564,J2,J1,J7,ROC,7.311795642374155e-05
565,J2,J1,J8,ROC,7.77610818933133e-06
566,J2,J1,J9,ROC,8.945154019534188e-05
567,J2,J3,J1,ROC,-2.6521412471825693e-06
568,J2,J3,J4,ROC,4.740796393688955e-06
569,J2,J3,J5,ROC,0.0
570,J2,J3,J6,ROC,2.824943651389933e-06
571,J2,J3,J7,ROC,1.998497370398197e-05
572,J2,J3,J8,ROC,0.0
573,J2,J3,J9,ROC,2.3816679188580018e-05
574,J2,J4,J1,ROC,3.00525920360631e-08
575,J2,J4,J3,ROC,-1.3523666416228392e-07
576,J2,J4,J5,ROC,0.0
577,J2,J4,J6,ROC,0.0
578,J2,J4,J7,ROC,-1.066115702479339e-05
579,J2,J4,J8,ROC,0.0
580,J2,J4,J9,ROC,-4.094665664913599e-06
581,J2,J5,J1,ROC,1.8632607062359135e-06
582,J2,J5,J3,ROC,0.0
583,J2,J5,J4,ROC,0.0
584,J2,J5,J6,ROC,0.0
585,J2,J5,J7,ROC,0.0
586,J2,J5,J8,ROC,0.0
587,J2,J5,J9,ROC,0.0
588,J2,J6,J1,ROC,-2.7948910593538688e-06
589,J2,J6,J3,ROC,-6.183320811419986e-06
590,J2,J6,J4,ROC,0.0
